dataset,fairness_condition,cov,cov_s,acc,acc_s,pos_0,pos_0_s,pos_1,pos_1_s,neg_0,neg_0_s,neg_1,neg_1_s,abs_0,abs_0_s,abs_1,abs_1_s,tpr_0,tpr_0_s,tpr_1,tpr_1_s,fnr_0,fnr_0_s,fnr_1,fnr_1_s,par_0,par_0_s,par_1,par_1_s,fpr_0,fpr_0_s,fpr_1,fpr_1_s,tnr_0,tnr_0_s,tnr_1,tnr_1_s,nar_0,nar_0_s,nar_1,nar_1_s
compas,ind,45.55,4.13,71.08,1.49,11.52,2.49,10.97,1.14,34.59,3.14,34.28,4.58,53.89,4.95,54.76,4.74,19.05,3.38,17.98,2.22,22.48,3.76,22.94,4.12,58.47,6.56,59.08,4.69,6.31,2.03,4.71,0.43,42.99,4.32,44.41,5.66,50.71,5.07,50.88,5.53
adult,ind,45.72,0.75,88.66,0.58,1.99,0.42,2.11,0.29,43.61,0.87,43.87,1.51,54.4,0.74,54.02,1.49,6.3,1.38,15.74,2.41,21.46,1.1,14.97,2.34,72.24,1.26,69.29,3.68,0.05,0.03,0.39,0.13,53.6,1.26,47.51,1.5,46.35,1.27,52.09,1.47
bank,ind,46.21,0.98,99.17,0.09,0.42,0.07,0.4,0.25,45.78,1.07,46.01,3.93,53.81,1.06,53.59,3.94,2.96,0.51,0.8,0.5,0.98,0.28,8.5,2.53,96.06,0.49,90.7,2.49,0.14,0.04,0.24,0.19,50.65,1.2,60.76,3.99,49.21,1.21,39.0,4.02
german,ind,46.85,3.61,84.71,3.79,1.95,0.72,3.59,3.13,43.91,5.35,45.98,7.91,54.15,5.32,50.43,6.43,4.01,1.74,9.26,7.17,22.44,5.36,19.01,9.63,73.55,5.09,71.73,6.27,1.14,1.17,0.73,2.31,52.62,6.11,59.65,8.86,46.25,6.1,39.62,7.63
adult,ind,47.72,0.81,88.3,0.64,2.07,0.43,2.16,0.32,45.53,1.01,45.77,1.24,52.39,0.87,52.06,1.21,6.57,1.41,15.86,2.43,23.04,1.38,16.52,2.49,70.39,1.51,67.61,3.82,0.05,0.03,0.44,0.15,55.68,1.15,49.46,1.24,44.27,1.15,50.1,1.17
default,ind,47.77,1.47,86.61,0.59,0.99,0.39,0.98,0.22,46.63,2.26,46.89,1.61,52.38,2.37,52.13,1.66,2.74,1.11,3.54,0.8,26.88,2.01,28.29,1.96,70.38,2.5,68.17,1.98,0.42,0.25,0.32,0.12,53.0,2.8,51.7,1.78,46.58,2.8,47.98,1.8
bank,ind,48.35,0.89,99.09,0.09,0.45,0.08,0.4,0.25,47.86,0.97,48.49,3.82,51.69,0.95,51.12,3.84,3.21,0.51,0.8,0.5,1.08,0.32,10.46,2.53,95.71,0.49,88.74,2.5,0.15,0.04,0.24,0.19,52.95,1.09,63.44,4.08,46.9,1.09,36.31,4.12
compas,ind,48.42,1.5,70.73,1.4,12.18,2.16,12.11,1.15,33.41,1.9,37.71,0.91,54.42,2.72,50.18,1.78,19.68,2.65,19.84,1.96,20.9,2.31,25.73,1.62,59.42,3.83,54.43,2.09,6.97,2.02,5.21,0.54,42.07,3.8,48.39,2.38,50.96,3.62,46.4,2.7
german,ind,48.55,3.19,84.53,4.23,2.31,0.78,3.59,3.13,45.33,5.83,47.38,9.0,52.37,5.67,49.02,7.39,5.07,2.82,9.26,7.17,23.83,6.29,19.01,9.63,71.1,6.1,71.73,6.27,1.24,1.21,0.73,2.31,54.03,6.76,61.68,10.3,44.73,6.72,37.59,9.08
default,ind,49.35,1.23,86.66,0.55,1.0,0.4,0.99,0.22,47.54,1.8,48.91,1.59,51.46,1.89,50.1,1.73,2.79,1.15,3.55,0.83,27.32,1.81,29.46,2.06,69.89,2.23,66.99,2.25,0.42,0.25,0.33,0.11,54.06,2.21,53.94,1.71,45.52,2.22,45.73,1.75
adult,ind,49.55,0.39,87.87,0.58,2.16,0.47,2.22,0.29,47.27,0.56,47.58,0.96,50.57,0.45,50.2,0.92,6.85,1.55,16.07,2.45,24.82,1.28,17.59,2.39,68.33,1.47,66.33,3.83,0.05,0.03,0.48,0.14,57.39,0.54,51.36,0.99,42.56,0.53,48.17,0.93
german,ind,49.65,3.61,84.49,4.56,2.52,0.93,3.59,3.13,46.19,5.78,48.56,9.16,51.29,5.8,47.85,7.56,5.79,3.09,9.26,7.17,24.08,6.57,20.98,11.36,70.14,6.81,69.76,6.27,1.24,1.21,0.73,2.31,55.12,6.74,62.66,9.62,43.64,6.71,36.6,8.68
adult,ind,50.34,0.42,87.89,0.6,2.19,0.5,2.23,0.28,47.41,0.44,49.64,1.22,50.4,0.52,48.13,1.24,6.93,1.64,16.1,2.4,25.03,1.31,18.55,2.64,68.03,1.89,65.35,3.95,0.05,0.03,0.48,0.14,57.51,0.44,53.56,1.27,42.45,0.43,45.96,1.22
bank,ind,50.36,0.93,99.03,0.1,0.48,0.08,0.4,0.25,49.83,1.0,50.56,3.64,49.69,0.99,49.04,3.68,3.42,0.51,0.8,0.5,1.21,0.33,11.91,2.27,95.37,0.52,87.28,2.34,0.16,0.05,0.24,0.19,55.12,1.11,65.77,4.01,44.72,1.11,33.99,4.08
default,ind,51.4,1.08,86.72,0.55,1.01,0.39,1.02,0.2,49.33,2.29,51.11,1.66,49.66,2.21,47.88,1.73,2.81,1.14,3.67,0.78,28.5,1.83,30.47,2.16,68.69,1.98,65.86,2.14,0.43,0.24,0.33,0.11,56.05,2.78,56.45,1.85,43.52,2.65,43.22,1.89
german,ind,51.45,3.62,84.22,4.4,2.52,0.93,4.08,3.07,47.78,5.02,50.28,8.85,49.7,5.14,45.64,7.82,5.79,3.09,10.77,7.29,25.47,6.22,22.35,12.37,68.74,7.02,66.88,9.01,1.24,1.21,0.73,2.31,56.79,5.71,64.53,9.62,41.97,5.82,34.74,8.73
compas,ind,51.67,1.85,69.68,1.31,13.16,1.88,13.42,2.13,37.47,4.55,38.75,1.17,49.38,4.85,47.83,2.85,21.18,2.48,21.49,3.1,25.78,5.38,26.85,2.14,53.04,6.62,51.66,3.25,7.57,1.84,6.21,1.58,45.55,5.05,49.36,2.28,46.88,4.84,44.42,3.34
adult,ind,51.92,1.92,87.51,1.26,2.21,0.52,2.25,0.28,48.73,2.9,51.72,0.95,49.06,2.95,46.04,1.01,7.0,1.69,16.13,2.36,26.69,4.29,20.26,2.42,66.3,4.54,63.61,3.78,0.05,0.03,0.49,0.15,58.68,2.32,55.68,0.93,41.28,2.33,43.82,0.87
bank,ind,52.31,0.91,98.97,0.13,0.49,0.09,0.4,0.25,51.79,0.98,52.3,3.39,47.72,0.99,47.3,3.46,3.52,0.52,0.8,0.5,1.37,0.41,13.29,2.58,95.12,0.57,85.91,2.56,0.17,0.05,0.24,0.19,57.28,1.08,67.64,3.65,42.56,1.1,32.12,3.74
compas,ind,53.14,1.67,69.5,1.48,14.4,2.29,14.17,1.85,37.38,3.17,39.61,1.32,48.22,3.98,46.22,2.0,23.18,3.15,22.86,3.11,26.0,4.73,27.77,1.92,50.82,5.85,49.36,2.47,8.29,1.94,6.41,0.9,45.25,4.16,50.17,2.49,46.46,3.91,43.43,2.69
default,ind,53.16,1.31,86.68,0.54,1.03,0.41,1.02,0.2,52.25,1.46,52.07,2.11,46.72,1.57,46.91,2.16,2.9,1.21,3.7,0.76,30.28,1.5,31.11,2.15,66.83,1.96,65.19,2.1,0.43,0.24,0.33,0.11,59.33,1.85,57.49,2.33,40.24,1.81,42.18,2.38
adult,ind,53.45,2.56,86.97,1.39,2.24,0.51,2.27,0.28,50.1,3.49,53.48,1.06,47.66,3.32,44.25,1.16,7.09,1.66,16.25,2.36,28.79,4.87,21.45,1.96,64.12,4.44,62.3,3.47,0.05,0.03,0.51,0.15,59.72,2.9,57.51,1.04,40.23,2.91,41.98,0.99
german,ind,53.65,3.84,83.72,4.57,2.67,1.07,4.74,3.61,49.57,4.99,52.39,8.7,47.76,5.06,42.86,7.91,5.79,3.09,12.83,9.71,27.02,5.7,24.1,13.53,67.19,7.03,63.06,10.49,1.45,1.46,0.73,2.31,58.7,5.86,66.86,9.27,39.85,5.69,32.41,8.36
bank,ind,54.42,1.01,98.89,0.18,0.52,0.09,0.42,0.25,53.86,1.03,54.58,2.8,45.63,1.05,45.0,2.81,3.66,0.55,0.86,0.5,1.5,0.45,15.6,2.36,94.83,0.61,83.54,2.11,0.17,0.06,0.24,0.19,59.55,1.14,69.9,3.17,40.27,1.16,29.86,3.25
default,ind,55.43,0.95,86.66,0.52,1.06,0.41,1.05,0.21,54.39,1.52,54.38,1.01,44.56,1.35,44.57,1.01,2.98,1.22,3.77,0.81,31.69,1.59,32.5,2.09,65.32,1.7,63.73,2.1,0.44,0.24,0.34,0.11,61.7,1.86,60.04,0.82,37.86,1.72,39.61,0.79
