dataset,fairness_condition,cov,cov_s,acc,acc_s,pos_0,pos_0_s,pos_1,pos_1_s,neg_0,neg_0_s,neg_1,neg_1_s,abs_0,abs_0_s,abs_1,abs_1_s,tpr_0,tpr_0_s,tpr_1,tpr_1_s,fnr_0,fnr_0_s,fnr_1,fnr_1_s,par_0,par_0_s,par_1,par_1_s,fpr_0,fpr_0_s,fpr_1,fpr_1_s,tnr_0,tnr_0_s,tnr_1,tnr_1_s,nar_0,nar_0_s,nar_1,nar_1_s
compas,ind,64.52,7.52,67.43,1.16,20.29,7.0,16.66,3.22,48.34,7.84,45.86,7.59,31.37,11.44,37.48,9.47,30.72,8.57,26.24,4.69,36.74,6.29,33.87,6.7,32.54,10.95,39.89,10.1,13.02,6.08,8.09,2.1,56.36,9.37,56.55,8.39,30.62,12.1,35.36,9.29
adult,ind,65.78,0.6,84.46,0.5,2.73,0.42,2.79,0.5,63.13,0.86,62.82,0.63,34.14,0.72,34.4,0.83,8.64,1.37,17.91,2.86,41.38,1.39,34.38,1.87,49.97,1.32,47.71,2.58,0.06,0.03,0.88,0.3,72.94,0.82,66.4,0.76,26.99,0.81,32.72,0.8
german,ind,65.85,3.24,81.22,2.85,4.62,2.5,6.04,4.15,59.61,5.35,63.67,10.47,35.78,4.48,30.29,8.4,10.08,6.64,15.64,10.14,35.96,6.99,35.51,14.8,53.96,10.51,48.85,10.61,2.44,1.64,1.45,2.35,69.35,7.01,77.88,10.48,28.21,5.78,20.67,8.94
bank,ind,66.26,1.11,98.31,0.16,0.74,0.12,0.52,0.25,65.43,1.04,66.94,2.92,33.83,1.03,32.54,2.93,5.35,0.82,1.22,0.63,3.63,0.53,29.3,3.08,91.02,0.75,69.47,2.85,0.24,0.07,0.24,0.19,72.15,1.11,81.74,3.47,27.61,1.1,18.02,3.56
default,ind,67.12,1.72,86.41,0.54,1.16,0.41,1.12,0.22,66.25,1.0,65.8,2.37,32.59,1.12,33.08,2.49,3.35,1.3,3.98,0.85,39.94,1.69,39.8,1.75,56.71,2.06,56.21,2.01,0.46,0.24,0.38,0.12,74.72,1.32,72.54,2.76,24.82,1.26,27.09,2.8
compas,ind,67.28,2.53,67.09,1.16,19.63,1.56,19.22,3.06,55.94,2.19,43.94,2.27,24.43,1.82,36.84,4.36,29.6,1.78,29.53,4.61,44.24,3.1,32.15,2.61,26.16,3.28,38.32,5.79,12.69,2.16,9.98,1.85,64.03,2.59,54.48,2.66,23.28,2.28,35.54,3.59
german,ind,67.4,3.21,80.99,2.77,5.12,2.65,6.24,4.2,60.45,5.1,65.53,10.17,34.43,4.3,28.23,8.47,11.62,6.79,15.64,10.14,36.69,6.78,37.74,15.66,51.69,10.27,46.61,11.86,2.54,1.64,1.76,2.35,70.27,6.99,79.64,9.86,27.2,5.74,18.6,8.63
adult,ind,67.4,0.59,84.2,0.48,2.87,0.39,2.95,0.54,65.01,0.87,63.45,1.05,32.12,0.73,33.61,1.42,9.08,1.27,18.28,2.92,43.1,1.46,35.1,1.63,47.82,1.2,46.62,2.83,0.06,0.04,1.02,0.36,74.9,0.9,67.02,1.18,25.04,0.88,31.96,1.35
compas,ind,67.52,6.22,67.17,1.44,21.12,6.63,18.35,2.88,53.11,5.11,45.89,7.37,25.76,8.38,35.76,8.31,31.5,8.08,28.42,4.18,40.98,4.86,33.81,7.34,27.53,8.5,37.78,9.16,13.88,5.96,9.34,1.97,61.47,5.56,56.7,7.73,24.65,8.76,33.96,7.82
bank,ind,68.15,1.1,98.18,0.15,0.79,0.14,0.54,0.24,67.27,1.01,68.83,2.8,31.94,1.03,30.63,2.8,5.77,1.03,1.29,0.6,4.22,0.52,32.2,3.46,90.01,1.05,66.52,3.26,0.25,0.08,0.24,0.19,74.13,1.05,83.24,2.99,25.63,1.05,16.52,3.08
german,ind,69.3,3.76,80.95,2.9,5.54,2.52,6.04,4.15,62.61,5.57,66.0,10.1,31.85,4.83,27.96,8.45,12.83,6.29,15.64,10.14,38.24,8.16,38.65,16.68,48.94,10.75,45.7,13.37,2.63,1.62,1.45,2.35,72.65,6.92,79.89,9.58,24.72,5.75,18.66,8.17
compas,ind,69.78,5.12,66.78,1.2,22.2,6.56,18.99,3.3,57.52,2.06,45.86,5.33,20.27,6.31,35.15,7.34,32.89,7.92,29.27,4.76,45.95,3.07,33.68,5.34,21.16,7.03,37.05,8.35,14.76,5.85,9.79,2.23,65.5,2.56,56.74,5.55,19.74,6.26,33.46,6.8
adult,ind,69.79,0.89,83.91,0.43,2.94,0.38,3.01,0.53,67.04,0.85,66.38,1.76,30.02,0.67,30.61,1.7,9.3,1.26,18.46,2.93,45.41,1.37,37.22,2.54,45.29,1.01,44.31,2.55,0.07,0.04,1.06,0.35,76.8,0.87,70.06,1.9,23.13,0.85,28.88,1.79
default,ind,69.95,0.67,86.34,0.47,1.18,0.4,1.15,0.24,68.66,0.9,68.88,0.97,30.16,1.05,29.97,1.1,3.44,1.3,4.06,0.94,42.0,1.45,41.64,1.56,54.56,1.73,54.29,1.79,0.46,0.24,0.4,0.13,77.25,1.2,75.93,1.0,22.29,1.21,23.67,1.04
bank,ind,70.14,1.15,98.04,0.14,0.83,0.15,0.54,0.24,69.26,1.06,70.26,2.8,29.91,1.08,29.2,2.8,6.14,1.11,1.29,0.6,5.23,0.49,34.12,3.76,88.64,1.03,64.59,3.5,0.25,0.09,0.24,0.19,76.22,1.09,84.46,2.75,23.52,1.09,15.3,2.84
compas,ind,70.72,4.9,66.69,1.16,20.39,2.38,20.67,1.18,58.55,2.46,45.93,7.41,21.06,2.07,33.4,7.6,30.64,2.87,31.5,2.14,46.97,3.53,34.09,7.0,22.39,4.0,34.41,7.42,13.24,2.6,10.98,0.99,66.56,2.76,56.5,7.75,20.2,2.11,32.52,7.99
default,ind,71.83,0.88,86.22,0.5,1.21,0.44,1.17,0.23,70.52,0.91,70.73,1.15,28.27,0.91,28.09,1.21,3.53,1.33,4.12,0.91,43.53,1.65,43.13,1.92,52.94,1.51,52.75,1.99,0.47,0.26,0.41,0.12,79.22,1.17,77.88,1.09,20.31,1.13,21.7,1.1
german,ind,72.15,4.47,80.3,3.35,6.05,2.66,7.16,4.8,64.69,6.14,68.3,9.78,29.26,5.98,24.53,6.05,13.41,6.75,17.79,11.08,40.08,8.95,41.09,16.45,46.5,11.64,41.11,9.63,3.12,1.68,1.95,2.79,74.79,7.13,81.81,9.27,22.1,6.2,16.24,7.41
bank,ind,72.16,0.97,97.89,0.15,0.87,0.14,0.64,0.29,71.24,0.88,72.03,2.66,27.88,0.89,27.33,2.64,6.42,1.04,1.64,0.84,6.17,0.64,36.65,3.57,87.41,0.91,61.7,3.49,0.27,0.09,0.24,0.19,78.32,0.89,85.93,2.8,21.41,0.9,13.82,2.88
adult,ind,72.42,1.27,83.23,0.75,3.0,0.36,3.13,0.56,69.57,1.8,68.96,1.17,27.43,1.71,27.91,1.17,9.5,1.17,18.76,2.8,49.32,3.35,39.15,2.98,41.18,3.12,42.09,2.84,0.08,0.05,1.15,0.4,78.7,1.17,72.73,1.28,21.22,1.16,26.12,1.21
adult,ind,73.17,0.96,83.32,0.87,3.05,0.35,3.14,0.55,69.69,1.77,70.94,0.94,27.26,1.56,25.92,1.02,9.64,1.13,18.77,2.78,49.18,3.56,41.5,2.83,41.18,2.86,39.73,2.41,0.08,0.05,1.17,0.39,78.94,1.13,74.65,1.06,20.99,1.12,24.17,1.05
german,ind,73.6,4.57,79.88,3.19,6.41,2.69,7.49,4.76,65.91,6.05,69.23,10.4,27.67,5.97,23.28,6.96,14.47,6.64,18.42,11.69,41.81,8.23,42.79,18.16,43.71,11.17,38.79,10.93,3.21,1.75,2.16,2.71,75.82,7.02,82.37,9.31,20.96,6.17,15.47,7.81
default,ind,73.62,1.1,86.09,0.56,1.24,0.44,1.19,0.22,72.23,1.19,72.53,1.5,26.53,1.22,26.27,1.54,3.61,1.32,4.21,0.88,45.01,1.97,44.66,1.94,51.38,1.83,51.13,1.84,0.48,0.27,0.41,0.12,81.0,1.56,79.75,1.5,18.52,1.55,19.83,1.51
bank,ind,74.16,0.73,97.65,0.17,0.94,0.14,0.73,0.26,73.17,0.73,74.02,2.13,25.88,0.74,25.25,2.06,6.87,0.92,1.96,0.89,7.42,1.16,40.59,3.51,85.71,1.04,57.46,3.07,0.3,0.09,0.24,0.19,80.32,0.71,87.14,2.21,19.38,0.73,12.62,2.27
german,ind,75.15,4.18,79.87,3.17,6.94,2.85,7.65,5.05,67.21,4.96,70.08,10.71,25.85,5.08,22.26,7.08,15.87,6.56,18.87,12.34,42.04,8.58,44.62,18.97,42.09,11.65,36.51,11.53,3.42,1.84,2.16,2.71,77.53,5.52,82.83,8.98,19.05,4.36,15.01,7.34
adult,ind,75.47,0.75,82.42,0.61,3.11,0.34,3.2,0.59,72.11,0.97,72.78,0.81,24.78,1.02,24.02,0.9,9.83,1.14,18.86,2.91,53.73,1.99,43.66,2.51,36.44,2.21,37.47,2.59,0.08,0.05,1.23,0.41,80.39,0.71,76.45,0.93,19.52,0.7,22.32,0.91
default,ind,76.01,0.77,85.96,0.54,1.26,0.42,1.22,0.22,74.52,0.92,74.95,0.95,24.21,0.96,23.83,1.04,3.7,1.27,4.29,0.89,47.14,1.85,46.45,1.8,49.16,1.51,49.26,1.69,0.48,0.27,0.43,0.11,83.35,1.37,82.33,1.02,16.17,1.41,17.24,1.06
bank,ind,76.17,0.87,97.43,0.17,1.04,0.15,0.8,0.3,75.09,0.85,75.69,2.26,23.86,0.85,23.51,2.19,7.63,1.0,2.08,1.02,9.04,1.23,42.94,3.51,83.33,1.44,54.98,3.05,0.33,0.09,0.29,0.25,82.28,0.78,88.55,2.19,17.39,0.78,11.15,2.24
german,ind,76.5,4.13,79.88,3.24,7.0,2.8,8.2,4.86,68.44,4.6,71.12,10.74,24.55,5.28,20.68,7.61,16.07,6.46,19.43,12.35,42.63,8.26,44.99,19.48,41.3,11.78,35.58,12.38,3.42,1.84,2.69,2.47,79.02,4.75,84.06,8.58,17.56,3.89,13.24,7.54
adult,ind,77.23,0.29,81.98,0.5,3.16,0.33,3.29,0.59,74.38,0.59,73.27,0.62,22.45,0.54,23.43,0.86,9.99,1.1,19.3,2.83,56.7,1.36,43.97,2.32,33.32,1.0,36.73,2.8,0.09,0.05,1.27,0.41,82.36,0.57,76.97,0.66,17.55,0.56,21.76,0.73
default,ind,78.11,0.76,85.82,0.5,1.3,0.4,1.25,0.21,76.49,0.63,77.09,0.92,22.21,0.77,21.67,0.98,3.85,1.23,4.38,0.88,48.82,1.72,48.37,1.62,47.32,1.34,47.25,1.59,0.49,0.26,0.44,0.11,85.4,1.04,84.52,0.92,14.12,1.09,15.04,0.94
bank,ind,78.19,0.68,97.13,0.22,1.16,0.16,0.84,0.31,77.02,0.68,77.5,2.26,21.82,0.67,21.67,2.14,8.43,0.98,2.08,1.02,11.15,1.5,45.75,4.25,80.42,1.51,52.17,3.83,0.37,0.1,0.34,0.29,84.18,0.61,89.97,1.99,15.45,0.6,9.69,1.94
german,ind,79.0,5.01,79.48,3.13,7.79,3.34,9.21,5.32,70.44,4.8,71.95,10.59,21.77,5.69,18.84,8.15,17.82,7.59,22.24,14.66,44.73,8.31,46.35,19.76,37.45,13.08,31.41,14.24,3.81,2.28,2.94,2.83,81.04,5.23,84.56,8.55,15.15,3.97,12.5,7.45
adult,ind,79.66,0.74,81.9,0.51,3.22,0.33,3.39,0.58,76.54,0.84,76.06,1.46,20.24,0.75,20.55,1.48,10.14,1.09,19.74,2.87,58.66,1.36,45.76,2.4,31.21,0.85,34.5,2.07,0.1,0.05,1.33,0.41,84.61,0.92,79.88,1.51,15.29,0.92,18.79,1.49
bank,ind,80.19,0.6,96.78,0.21,1.3,0.17,0.93,0.34,78.89,0.62,79.28,2.13,19.81,0.56,19.79,2.02,9.4,1.21,2.27,0.95,13.7,1.7,48.93,4.07,76.91,1.62,48.8,3.74,0.42,0.11,0.39,0.36,85.98,0.52,91.2,1.75,13.6,0.5,8.41,1.66
default,ind,80.28,0.78,85.6,0.54,1.35,0.43,1.31,0.24,78.69,0.78,79.13,0.91,19.96,0.91,19.56,0.92,3.97,1.32,4.58,0.96,51.08,2.09,50.35,1.81,44.95,1.75,45.06,1.48,0.51,0.26,0.46,0.12,87.58,0.98,86.59,0.83,11.91,0.99,12.95,0.86
